"시도별","연령계층별","시점","항목",데이터
"광주광역시","30 - 39세","2014","비경제활동인구 (천명)",56
"광주광역시","30 - 39세","2014","경제활동참가율 (%)",76.2
"광주광역시","30 - 39세","2014","고용률 (%)",74.4
"광주광역시","30 - 39세","2015","15세이상인구 (천명)",229
"광주광역시","30 - 39세","2015","경제활동인구 (천명)",177
"광주광역시","30 - 39세","2015","비경제활동인구 (천명)",53
"광주광역시","30 - 39세","2015","경제활동참가율 (%)",77.0
"광주광역시","30 - 39세","2015","고용률 (%)",74.6
"광주광역시","30 - 39세","2016","15세이상인구 (천명)",222
"광주광역시","30 - 39세","2016","경제활동인구 (천명)",169
"광주광역시","30 - 39세","2016","비경제활동인구 (천명)",54
"광주광역시","30 - 39세","2016","경제활동참가율 (%)",75.9
"광주광역시","30 - 39세","2016","고용률 (%)",74.2
"광주광역시","30 - 39세","2017","15세이상인구 (천명)",215
"광주광역시","30 - 39세","2017","경제활동인구 (천명)",162
"광주광역시","30 - 39세","2017","비경제활동인구 (천명)",53
"광주광역시","30 - 39세","2017","경제활동참가율 (%)",75.3
"광주광역시","30 - 39세","2017","고용률 (%)",73.2
"광주광역시","30 - 39세","2018","15세이상인구 (천명)",208
"광주광역시","30 - 39세","2018","경제활동인구 (천명)",161
"광주광역시","30 - 39세","2018","비경제활동인구 (천명)",48
"광주광역시","30 - 39세","2018","경제활동참가율 (%)",77.1
"광주광역시","30 - 39세","2018","고용률 (%)",74.2
"광주광역시","30 - 39세","2019","15세이상인구 (천명)",203
"광주광역시","30 - 39세","2019","경제활동인구 (천명)",155
"광주광역시","30 - 39세","2019","비경제활동인구 (천명)",47
"광주광역시","30 - 39세","2019","경제활동참가율 (%)",76.7
"광주광역시","30 - 39세","2019","고용률 (%)",75.1
"광주광역시","30 - 39세","2020","15세이상인구 (천명)",198
"광주광역시","30 - 39세","2020","경제활동인구 (천명)",147
"광주광역시","30 - 39세","2020","비경제활동인구 (천명)",51
"광주광역시","30 - 39세","2020","경제활동참가율 (%)",74.4
"광주광역시","30 - 39세","2020","고용률 (%)",71.8
"광주광역시","30 - 39세","2021","15세이상인구 (천명)",193
"광주광역시","30 - 39세","2021","경제활동인구 (천명)",144
"광주광역시","30 - 39세","2021","비경제활동인구 (천명)",49
"광주광역시","30 - 39세","2021","경제활동참가율 (%)",74.6
"광주광역시","30 - 39세","2021","고용률 (%)",71.9
"광주광역시","30 - 39세","2022","15세이상인구 (천명)",189
"광주광역시","30 - 39세","2022","경제활동인구 (천명)",141
"광주광역시","30 - 39세","2022","비경제활동인구 (천명)",48
"광주광역시","30 - 39세","2022","경제활동참가율 (%)",74.7
"광주광역시","30 - 39세","2022","고용률 (%)",71.8
"광주광역시","30 - 39세","2023","15세이상인구 (천명)",186
"광주광역시","30 - 39세","2023","경제활동인구 (천명)",146
"광주광역시","30 - 39세","2023","비경제활동인구 (천명)",40
"광주광역시","30 - 39세","2023","경제활동참가율 (%)",78.3
"광주광역시","30 - 39세","2023","고용률 (%)",76.5
"광주광역시","30 - 39세","2024","15세이상인구 (천명)",185
"광주광역시","30 - 39세","2024","경제활동인구 (천명)",146
"광주광역시","30 - 39세","2024","비경제활동인구 (천명)",39
"광주광역시","30 - 39세","2024","경제활동참가율 (%)",79.1
"광주광역시","30 - 39세","2024","고용률 (%)",77.1
"광주광역시","40 - 49세","2014","15세이상인구 (천명)",263
"광주광역시","40 - 49세","2014","경제활동인구 (천명)",209
"광주광역시","40 - 49세","2014","비경제활동인구 (천명)",54
"광주광역시","40 - 49세","2014","경제활동참가율 (%)",79.5
"광주광역시","40 - 49세","2014","고용률 (%)",78.4
"광주광역시","40 - 49세","2015","15세이상인구 (천명)",264
"광주광역시","40 - 49세","2015","경제활동인구 (천명)",214
"광주광역시","40 - 49세","2015","비경제활동인구 (천명)",50
"광주광역시","40 - 49세","2015","경제활동참가율 (%)",81.1
"광주광역시","40 - 49세","2015","고용률 (%)",79.4
"광주광역시","40 - 49세","2016","15세이상인구 (천명)",260
"광주광역시","40 - 49세","2016","경제활동인구 (천명)",209
"광주광역시","40 - 49세","2016","비경제활동인구 (천명)",51
"광주광역시","40 - 49세","2016","경제활동참가율 (%)",80.3
"광주광역시","40 - 49세","2016","고용률 (%)",79.3
"광주광역시","40 - 49세","2017","15세이상인구 (천명)",258
"광주광역시","40 - 49세","2017","경제활동인구 (천명)",211
"광주광역시","40 - 49세","2017","비경제활동인구 (천명)",47
"광주광역시","40 - 49세","2017","경제활동참가율 (%)",81.7
"광주광역시","40 - 49세","2017","고용률 (%)",80.2
"광주광역시","40 - 49세","2018","15세이상인구 (천명)",254
"광주광역시","40 - 49세","2018","경제활동인구 (천명)",206
"광주광역시","40 - 49세","2018","비경제활동인구 (천명)",48
"광주광역시","40 - 49세","2018","경제활동참가율 (%)",81.2
"광주광역시","40 - 49세","2018","고용률 (%)",79.3
"광주광역시","40 - 49세","2019","15세이상인구 (천명)",248
"광주광역시","40 - 49세","2019","경제활동인구 (천명)",200
"광주광역시","40 - 49세","2019","비경제활동인구 (천명)",49
"광주광역시","40 - 49세","2019","경제활동참가율 (%)",80.4
"광주광역시","40 - 49세","2019","고용률 (%)",78.5
"광주광역시","40 - 49세","2020","15세이상인구 (천명)",247
"광주광역시","40 - 49세","2020","경제활동인구 (천명)",198
"광주광역시","40 - 49세","2020","비경제활동인구 (천명)",49
"광주광역시","40 - 49세","2020","경제활동참가율 (%)",80.3
"광주광역시","40 - 49세","2020","고용률 (%)",78.2
"광주광역시","40 - 49세","2021","15세이상인구 (천명)",243
"광주광역시","40 - 49세","2021","경제활동인구 (천명)",196
"광주광역시","40 - 49세","2021","비경제활동인구 (천명)",48
"광주광역시","40 - 49세","2021","경제활동참가율 (%)",80.4
"광주광역시","40 - 49세","2021","고용률 (%)",78.9
"광주광역시","40 - 49세","2022","15세이상인구 (천명)",240
"광주광역시","40 - 49세","2022","경제활동인구 (천명)",189
"광주광역시","40 - 49세","2022","비경제활동인구 (천명)",51
"광주광역시","40 - 49세","2022","경제활동참가율 (%)",78.9
"광주광역시","40 - 49세","2022","고용률 (%)",77.6
"광주광역시","40 - 49세","2023","15세이상인구 (천명)",235
"광주광역시","40 - 49세","2023","경제활동인구 (천명)",184
"광주광역시","40 - 49세","2023","비경제활동인구 (천명)",51
"광주광역시","40 - 49세","2023","경제활동참가율 (%)",78.3
"광주광역시","40 - 49세","2023","고용률 (%)",76.9
"광주광역시","40 - 49세","2024","15세이상인구 (천명)",229
"광주광역시","40 - 49세","2024","경제활동인구 (천명)",177
"광주광역시","40 - 49세","2024","비경제활동인구 (천명)",52
"광주광역시","40 - 49세","2024","경제활동참가율 (%)",77.2
"광주광역시","40 - 49세","2024","고용률 (%)",75.8
"광주광역시","50 - 59세","2014","15세이상인구 (천명)",215
"광주광역시","50 - 59세","2014","경제활동인구 (천명)",161
"광주광역시","50 - 59세","2014","비경제활동인구 (천명)",54
"광주광역시","50 - 59세","2014","경제활동참가율 (%)",75.0
"광주광역시","50 - 59세","2014","고용률 (%)",73.6
"광주광역시","50 - 59세","2015","15세이상인구 (천명)",220
"광주광역시","50 - 59세","2015","경제활동인구 (천명)",162
"광주광역시","50 - 59세","2015","비경제활동인구 (천명)",58
"광주광역시","50 - 59세","2015","경제활동참가율 (%)",73.7
"광주광역시","50 - 59세","2015","고용률 (%)",72.9
"광주광역시","50 - 59세","2016","15세이상인구 (천명)",226
"광주광역시","50 - 59세","2016","경제활동인구 (천명)",167
"광주광역시","50 - 59세","2016","비경제활동인구 (천명)",59
"광주광역시","50 - 59세","2016","경제활동참가율 (%)",73.8
"광주광역시","50 - 59세","2016","고용률 (%)",72.6
"광주광역시","50 - 59세","2017","15세이상인구 (천명)",231
"광주광역시","50 - 59세","2017","경제활동인구 (천명)",176
"광주광역시","50 - 59세","2017","비경제활동인구 (천명)",55
"광주광역시","50 - 59세","2017","경제활동참가율 (%)",76.2
"광주광역시","50 - 59세","2017","고용률 (%)",75.2
"광주광역시","50 - 59세","2018","15세이상인구 (천명)",235
"광주광역시","50 - 59세","2018","경제활동인구 (천명)",181
"광주광역시","50 - 59세","2018","비경제활동인구 (천명)",53
"광주광역시","50 - 59세","2018","경제활동참가율 (%)",77.4
"광주광역시","50 - 59세","2018","고용률 (%)",75.3
"광주광역시","50 - 59세","2019","15세이상인구 (천명)",238
"광주광역시","50 - 59세","2019","경제활동인구 (천명)",183
"광주광역시","50 - 59세","2019","비경제활동인구 (천명)",56
"광주광역시","50 - 59세","2019","경제활동참가율 (%)",76.8
"광주광역시","50 - 59세","2019","고용률 (%)",74.5
"광주광역시","50 - 59세","2020","15세이상인구 (천명)",241
"광주광역시","50 - 59세","2020","경제활동인구 (천명)",184
"광주광역시","50 - 59세","2020","비경제활동인구 (천명)",57
"광주광역시","50 - 59세","2020","경제활동참가율 (%)",76.2
"광주광역시","50 - 59세","2020","고용률 (%)",74.2
"광주광역시","50 - 59세","2021","15세이상인구 (천명)",243
"광주광역시","50 - 59세","2021","경제활동인구 (천명)",187
"광주광역시","50 - 59세","2021","비경제활동인구 (천명)",56
"광주광역시","50 - 59세","2021","경제활동참가율 (%)",77.1
"광주광역시","50 - 59세","2021","고용률 (%)",75.4
"광주광역시","50 - 59세","2022","15세이상인구 (천명)",245
"광주광역시","50 - 59세","2022","경제활동인구 (천명)",191
"광주광역시","50 - 59세","2022","비경제활동인구 (천명)",54
"광주광역시","50 - 59세","2022","경제활동참가율 (%)",77.9
"광주광역시","50 - 59세","2022","고용률 (%)",76.9
"광주광역시","50 - 59세","2023","15세이상인구 (천명)",247
"광주광역시","50 - 59세","2023","경제활동인구 (천명)",197
"광주광역시","50 - 59세","2023","비경제활동인구 (천명)",49
"광주광역시","50 - 59세","2023","경제활동참가율 (%)",80.0
"광주광역시","50 - 59세","2023","고용률 (%)",79.1
"광주광역시","50 - 59세","2024","15세이상인구 (천명)",250
"광주광역시","50 - 59세","2024","경제활동인구 (천명)",205
"광주광역시","50 - 59세","2024","비경제활동인구 (천명)",46
"광주광역시","50 - 59세","2024","경제활동참가율 (%)",81.8
"광주광역시","50 - 59세","2024","고용률 (%)",80.6
"광주광역시","60세이상","2014","15세이상인구 (천명)",222
"광주광역시","60세이상","2014","경제활동인구 (천명)",81
"광주광역시","60세이상","2014","비경제활동인구 (천명)",141
"광주광역시","60세이상","2014","경제활동참가율 (%)",36.6
"광주광역시","60세이상","2014","고용률 (%)",35.4
"광주광역시","60세이상","2015","15세이상인구 (천명)",234
"광주광역시","60세이상","2015","경제활동인구 (천명)",86
"광주광역시","60세이상","2015","비경제활동인구 (천명)",148
"광주광역시","60세이상","2015","경제활동참가율 (%)",36.6
"광주광역시","60세이상","2015","고용률 (%)",35.9
"광주광역시","60세이상","2016","15세이상인구 (천명)",246
"광주광역시","60세이상","2016","경제활동인구 (천명)",94
"광주광역시","60세이상","2016","비경제활동인구 (천명)",152
"광주광역시","60세이상","2016","경제활동참가율 (%)",38.2
"광주광역시","60세이상","2016","고용률 (%)",37.1
"광주광역시","60세이상","2017","15세이상인구 (천명)",259
"광주광역시","60세이상","2017","경제활동인구 (천명)",100
"광주광역시","60세이상","2017","비경제활동인구 (천명)",159
"광주광역시","60세이상","2017","경제활동참가율 (%)",38.8
"광주광역시","60세이상","2017","고용률 (%)",37.9
"광주광역시","60세이상","2018","15세이상인구 (천명)",272
"광주광역시","60세이상","2018","경제활동인구 (천명)",105
"광주광역시","60세이상","2018","비경제활동인구 (천명)",168
"광주광역시","60세이상","2018","경제활동참가율 (%)",38.4
"광주광역시","60세이상","2018","고용률 (%)",37.2
"광주광역시","60세이상","2019","15세이상인구 (천명)",287
"광주광역시","60세이상","2019","경제활동인구 (천명)",114
"광주광역시","60세이상","2019","비경제활동인구 (천명)",173
"광주광역시","60세이상","2019","경제활동참가율 (%)",39.7
"광주광역시","60세이상","2019","고용률 (%)",38.6
"광주광역시","60세이상","2020","15세이상인구 (천명)",304
"광주광역시","60세이상","2020","경제활동인구 (천명)",125
"광주광역시","60세이상","2020","비경제활동인구 (천명)",179
"광주광역시","60세이상","2020","경제활동참가율 (%)",41.1
"광주광역시","60세이상","2020","고용률 (%)",39.8
"광주광역시","60세이상","2021","15세이상인구 (천명)",320
"광주광역시","60세이상","2021","경제활동인구 (천명)",132
"광주광역시","60세이상","2021","비경제활동인구 (천명)",189
"광주광역시","60세이상","2021","경제활동참가율 (%)",41.1
"광주광역시","60세이상","2021","고용률 (%)",39.4
"광주광역시","60세이상","2022","15세이상인구 (천명)",333
"광주광역시","60세이상","2022","경제활동인구 (천명)",138
"광주광역시","60세이상","2022","비경제활동인구 (천명)",194
"광주광역시","60세이상","2022","경제활동참가율 (%)",41.5
"광주광역시","60세이상","2022","고용률 (%)",40.3
"광주광역시","60세이상","2023","15세이상인구 (천명)",345
"광주광역시","60세이상","2023","경제활동인구 (천명)",152
"광주광역시","60세이상","2023","비경제활동인구 (천명)",193
"광주광역시","60세이상","2023","경제활동참가율 (%)",44.0
"광주광역시","60세이상","2023","고용률 (%)",42.5
"광주광역시","60세이상","2024","15세이상인구 (천명)",359
"광주광역시","60세이상","2024","경제활동인구 (천명)",166
"광주광역시","60세이상","2024","비경제활동인구 (천명)",193
"광주광역시","60세이상","2024","경제활동참가율 (%)",46.2
"광주광역시","60세이상","2024","고용률 (%)",44.4
"광주광역시","15 - 64세","2014","15세이상인구 (천명)",1087
"광주광역시","15 - 64세","2014","경제활동인구 (천명)",709
"광주광역시","15 - 64세","2014","비경제활동인구 (천명)",378
"광주광역시","15 - 64세","2014","경제활동참가율 (%)",65.2
"광주광역시","15 - 64세","2014","고용률 (%)",63.4
"광주광역시","15 - 64세","2015","15세이상인구 (천명)",1089
"광주광역시","15 - 64세","2015","경제활동인구 (천명)",709
"광주광역시","15 - 64세","2015","비경제활동인구 (천명)",380
"광주광역시","15 - 64세","2015","경제활동참가율 (%)",65.1
"광주광역시","15 - 64세","2015","고용률 (%)",63.2
"광주광역시","15 - 64세","2016","15세이상인구 (천명)",1085
"광주광역시","15 - 64세","2016","경제활동인구 (천명)",701
"광주광역시","15 - 64세","2016","비경제활동인구 (천명)",384
"광주광역시","15 - 64세","2016","경제활동참가율 (%)",64.6
"광주광역시","15 - 64세","2016","고용률 (%)",62.5
"광주광역시","15 - 64세","2017","15세이상인구 (천명)",1079
"광주광역시","15 - 64세","2017","경제활동인구 (천명)",709
"광주광역시","15 - 64세","2017","비경제활동인구 (천명)",370
"광주광역시","15 - 64세","2017","경제활동참가율 (%)",65.7
"광주광역시","15 - 64세","2017","고용률 (%)",63.8
"광주광역시","15 - 64세","2018","15세이상인구 (천명)",1073
"광주광역시","15 - 64세","2018","경제활동인구 (천명)",721
"광주광역시","15 - 64세","2018","비경제활동인구 (천명)",352
"광주광역시","15 - 64세","2018","경제활동참가율 (%)",67.2
"광주광역시","15 - 64세","2018","고용률 (%)",64.6
"광주광역시","15 - 64세","2019","15세이상인구 (천명)",1069
"광주광역시","15 - 64세","2019","경제활동인구 (천명)",716
"광주광역시","15 - 64세","2019","비경제활동인구 (천명)",353
"광주광역시","15 - 64세","2019","경제활동참가율 (%)",66.9
"광주광역시","15 - 64세","2019","고용률 (%)",64.5
"광주광역시","15 - 64세","2020","15세이상인구 (천명)",1068
"광주광역시","15 - 64세","2020","경제활동인구 (천명)",710
"광주광역시","15 - 64세","2020","비경제활동인구 (천명)",358
"광주광역시","15 - 64세","2020","경제활동참가율 (%)",66.4
"광주광역시","15 - 64세","2020","고용률 (%)",63.8
"광주광역시","15 - 64세","2021","15세이상인구 (천명)",1064
"광주광역시","15 - 64세","2021","경제활동인구 (천명)",699
"광주광역시","15 - 64세","2021","비경제활동인구 (천명)",365
"광주광역시","15 - 64세","2021","경제활동참가율 (%)",65.7
"광주광역시","15 - 64세","2021","고용률 (%)",63.4
"광주광역시","15 - 64세","2022","15세이상인구 (천명)",1053
"광주광역시","15 - 64세","2022","경제활동인구 (천명)",697
"광주광역시","15 - 64세","2022","비경제활동인구 (천명)",356
"광주광역시","15 - 64세","2022","경제활동참가율 (%)",66.2
"광주광역시","15 - 64세","2022","고용률 (%)",64.3
"광주광역시","15 - 64세","2023","15세이상인구 (천명)",1043
"광주광역시","15 - 64세","2023","경제활동인구 (천명)",702
"광주광역시","15 - 64세","2023","비경제활동인구 (천명)",341
"광주광역시","15 - 64세","2023","경제활동참가율 (%)",67.3
"광주광역시","15 - 64세","2023","고용률 (%)",65.6
"광주광역시","15 - 64세","2024","15세이상인구 (천명)",1029
"광주광역시","15 - 64세","2024","경제활동인구 (천명)",699
"광주광역시","15 - 64세","2024","비경제활동인구 (천명)",330
"광주광역시","15 - 64세","2024","경제활동참가율 (%)",67.9
"광주광역시","15 - 64세","2024","고용률 (%)",66.0
"광주광역시","15 - 24세","2014","15세이상인구 (천명)",214
"광주광역시","15 - 24세","2014","경제활동인구 (천명)",52
"광주광역시","15 - 24세","2014","비경제활동인구 (천명)",163
"광주광역시","15 - 24세","2014","경제활동참가율 (%)",24.1
"광주광역시","15 - 24세","2014","고용률 (%)",22.3
"광주광역시","15 - 24세","2015","15세이상인구 (천명)",214
"광주광역시","15 - 24세","2015","경제활동인구 (천명)",50
"광주광역시","15 - 24세","2015","비경제활동인구 (천명)",164
"광주광역시","15 - 24세","2015","경제활동참가율 (%)",23.4
"광주광역시","15 - 24세","2015","고용률 (%)",21.9
"광주광역시","15 - 24세","2016","15세이상인구 (천명)",210
"광주광역시","15 - 24세","2016","경제활동인구 (천명)",50
"광주광역시","15 - 24세","2016","비경제활동인구 (천명)",160
"광주광역시","15 - 24세","2016","경제활동참가율 (%)",23.8
"광주광역시","15 - 24세","2016","고용률 (%)",21.3
"광주광역시","15 - 24세","2017","15세이상인구 (천명)",203
"광주광역시","15 - 24세","2017","경제활동인구 (천명)",54
"광주광역시","15 - 24세","2017","비경제활동인구 (천명)",149
"광주광역시","15 - 24세","2017","경제활동참가율 (%)",26.5
"광주광역시","15 - 24세","2017","고용률 (%)",24.6
"광주광역시","15 - 24세","2018","15세이상인구 (천명)",195
"광주광역시","15 - 24세","2018","경제활동인구 (천명)",56
"광주광역시","15 - 24세","2018","비경제활동인구 (천명)",138
"광주광역시","15 - 24세","2018","경제활동참가율 (%)",28.9
"광주광역시","15 - 24세","2018","고용률 (%)",26.9
"광주광역시","15 - 24세","2019","15세이상인구 (천명)",187
"광주광역시","15 - 24세","2019","경제활동인구 (천명)",55
"광주광역시","15 - 24세","2019","비경제활동인구 (천명)",132
"광주광역시","15 - 24세","2019","경제활동참가율 (%)",29.6
"광주광역시","15 - 24세","2019","고용률 (%)",26.2
"광주광역시","15 - 24세","2020","15세이상인구 (천명)",179
"광주광역시","15 - 24세","2020","경제활동인구 (천명)",49
"광주광역시","15 - 24세","2020","비경제활동인구 (천명)",131
"광주광역시","15 - 24세","2020","경제활동참가율 (%)",27.1
"광주광역시","15 - 24세","2020","고용률 (%)",24.0
"광주광역시","15 - 24세","2021","15세이상인구 (천명)",172
"광주광역시","15 - 24세","2021","경제활동인구 (천명)",41
"광주광역시","15 - 24세","2021","비경제활동인구 (천명)",131
"광주광역시","15 - 24세","2021","경제활동참가율 (%)",23.7
"광주광역시","15 - 24세","2021","고용률 (%)",20.9
"광주광역시","15 - 24세","2022","15세이상인구 (천명)",164
"광주광역시","15 - 24세","2022","경제활동인구 (천명)",41
"광주광역시","15 - 24세","2022","비경제활동인구 (천명)",123
"광주광역시","15 - 24세","2022","경제활동참가율 (%)",24.9
"광주광역시","15 - 24세","2022","고용률 (%)",22.5
"광주광역시","15 - 24세","2023","15세이상인구 (천명)",159
"광주광역시","15 - 24세","2023","경제활동인구 (천명)",38
"광주광역시","15 - 24세","2023","비경제활동인구 (천명)",121
"광주광역시","15 - 24세","2023","경제활동참가율 (%)",23.7
"광주광역시","15 - 24세","2023","고용률 (%)",22.2
"광주광역시","15 - 24세","2024","15세이상인구 (천명)",152
"광주광역시","15 - 24세","2024","경제활동인구 (천명)",34
"광주광역시","15 - 24세","2024","비경제활동인구 (천명)",119
"광주광역시","15 - 24세","2024","경제활동참가율 (%)",22.1
"광주광역시","15 - 24세","2024","고용률 (%)",20.6
"대전광역시","계","2014","15세이상인구 (천명)",1288
"대전광역시","계","2014","경제활동인구 (천명)",788
"대전광역시","계","2014","비경제활동인구 (천명)",500
"대전광역시","계","2014","경제활동참가율 (%)",61.2
"대전광역시","계","2014","고용률 (%)",59.1
"대전광역시","계","2015","15세이상인구 (천명)",1291
"대전광역시","계","2015","경제활동인구 (천명)",797
"대전광역시","계","2015","비경제활동인구 (천명)",494
"대전광역시","계","2015","경제활동참가율 (%)",61.7
"대전광역시","계","2015","고용률 (%)",59.6
"대전광역시","계","2016","15세이상인구 (천명)",1295
"대전광역시","계","2016","경제활동인구 (천명)",800
"대전광역시","계","2016","비경제활동인구 (천명)",496
"대전광역시","계","2016","경제활동참가율 (%)",61.7
"대전광역시","계","2016","고용률 (%)",59.7
"대전광역시","계","2017","15세이상인구 (천명)",1296
"대전광역시","계","2017","경제활동인구 (천명)",791
"대전광역시","계","2017","비경제활동인구 (천명)",505
"대전광역시","계","2017","경제활동참가율 (%)",61.0
"대전광역시","계","2017","고용률 (%)",58.9
"대전광역시","계","2018","15세이상인구 (천명)",1293
"대전광역시","계","2018","경제활동인구 (천명)",792
"대전광역시","계","2018","비경제활동인구 (천명)",500
"대전광역시","계","2018","경제활동참가율 (%)",61.3
"대전광역시","계","2018","고용률 (%)",58.7
"대전광역시","계","2019","15세이상인구 (천명)",1291
"대전광역시","계","2019","경제활동인구 (천명)",806
"대전광역시","계","2019","비경제활동인구 (천명)",485
"대전광역시","계","2019","경제활동참가율 (%)",62.4
"대전광역시","계","2019","고용률 (%)",59.8
"대전광역시","계","2020","15세이상인구 (천명)",1286
"대전광역시","계","2020","경제활동인구 (천명)",816
"대전광역시","계","2020","비경제활동인구 (천명)",471
"대전광역시","계","2020","경제활동참가율 (%)",63.4
"대전광역시","계","2020","고용률 (%)",60.7
"대전광역시","계","2021","15세이상인구 (천명)",1288
"대전광역시","계","2021","경제활동인구 (천명)",811
"대전광역시","계","2021","비경제활동인구 (천명)",477
"대전광역시","계","2021","경제활동참가율 (%)",63.0
"대전광역시","계","2021","고용률 (%)",60.9
"대전광역시","계","2022","15세이상인구 (천명)",1288
"대전광역시","계","2022","경제활동인구 (천명)",813
"대전광역시","계","2022","비경제활동인구 (천명)",475
"대전광역시","계","2022","경제활동참가율 (%)",63.1
"대전광역시","계","2022","고용률 (%)",61.6
"대전광역시","계","2023","15세이상인구 (천명)",1294
"대전광역시","계","2023","경제활동인구 (천명)",820
"대전광역시","계","2023","비경제활동인구 (천명)",474
"대전광역시","계","2023","경제활동참가율 (%)",63.4
"대전광역시","계","2023","고용률 (%)",61.6
"대전광역시","계","2024","15세이상인구 (천명)",1302
"대전광역시","계","2024","경제활동인구 (천명)",814
"대전광역시","계","2024","비경제활동인구 (천명)",488
"대전광역시","계","2024","경제활동참가율 (%)",62.5
"대전광역시","계","2024","고용률 (%)",60.6
"대전광역시","15 - 29세","2014","15세이상인구 (천명)",327
"대전광역시","15 - 29세","2014","경제활동인구 (천명)",139
"대전광역시","15 - 29세","2014","비경제활동인구 (천명)",188
"대전광역시","15 - 29세","2014","경제활동참가율 (%)",42.5
"대전광역시","15 - 29세","2014","고용률 (%)",39.2
"대전광역시","15 - 29세","2015","15세이상인구 (천명)",325
"대전광역시","15 - 29세","2015","경제활동인구 (천명)",139
"대전광역시","15 - 29세","2015","비경제활동인구 (천명)",186
"대전광역시","15 - 29세","2015","경제활동참가율 (%)",42.7
"대전광역시","15 - 29세","2015","고용률 (%)",38.9
"대전광역시","15 - 29세","2016","15세이상인구 (천명)",325
"대전광역시","15 - 29세","2016","경제활동인구 (천명)",146
"대전광역시","15 - 29세","2016","비경제활동인구 (천명)",179
"대전광역시","15 - 29세","2016","경제활동참가율 (%)",44.8
"대전광역시","15 - 29세","2016","고용률 (%)",41.1
"대전광역시","15 - 29세","2017","15세이상인구 (천명)",321
"대전광역시","15 - 29세","2017","경제활동인구 (천명)",140
"대전광역시","15 - 29세","2017","비경제활동인구 (천명)",181
"대전광역시","15 - 29세","2017","경제활동참가율 (%)",43.6
"대전광역시","15 - 29세","2017","고용률 (%)",40.2
"대전광역시","15 - 29세","2018","15세이상인구 (천명)",314
"대전광역시","15 - 29세","2018","경제활동인구 (천명)",134
"대전광역시","15 - 29세","2018","비경제활동인구 (천명)",181
"대전광역시","15 - 29세","2018","경제활동참가율 (%)",42.6
"대전광역시","15 - 29세","2018","고용률 (%)",38.1
"대전광역시","15 - 29세","2019","15세이상인구 (천명)",309
"대전광역시","15 - 29세","2019","경제활동인구 (천명)",139
"대전광역시","15 - 29세","2019","비경제활동인구 (천명)",170
"대전광역시","15 - 29세","2019","경제활동참가율 (%)",44.9
"대전광역시","15 - 29세","2019","고용률 (%)",40.6
"대전광역시","15 - 29세","2020","15세이상인구 (천명)",302
"대전광역시","15 - 29세","2020","경제활동인구 (천명)",146
"대전광역시","15 - 29세","2020","비경제활동인구 (천명)",155
"대전광역시","15 - 29세","2020","경제활동참가율 (%)",48.5
"대전광역시","15 - 29세","2020","고용률 (%)",44.7
"대전광역시","15 - 29세","2021","15세이상인구 (천명)",295
"대전광역시","15 - 29세","2021","경제활동인구 (천명)",143
"대전광역시","15 - 29세","2021","비경제활동인구 (천명)",152
"대전광역시","15 - 29세","2021","경제활동참가율 (%)",48.4
"대전광역시","15 - 29세","2021","고용률 (%)",45.0
"대전광역시","15 - 29세","2022","15세이상인구 (천명)",287
"대전광역시","15 - 29세","2022","경제활동인구 (천명)",144
"대전광역시","15 - 29세","2022","비경제활동인구 (천명)",143
"대전광역시","15 - 29세","2022","경제활동참가율 (%)",50.2
"대전광역시","15 - 29세","2022","고용률 (%)",48.0
"대전광역시","15 - 29세","2023","15세이상인구 (천명)",280
"대전광역시","15 - 29세","2023","경제활동인구 (천명)",132
"대전광역시","15 - 29세","2023","비경제활동인구 (천명)",148
"대전광역시","15 - 29세","2023","경제활동참가율 (%)",47.2
"대전광역시","15 - 29세","2023","고용률 (%)",44.4
"대전광역시","15 - 29세","2024","15세이상인구 (천명)",274
"대전광역시","15 - 29세","2024","경제활동인구 (천명)",127
"대전광역시","15 - 29세","2024","비경제활동인구 (천명)",148
"대전광역시","15 - 29세","2024","경제활동참가율 (%)",46.2
"대전광역시","15 - 29세","2024","고용률 (%)",43.4
"대전광역시","15 - 19세","2014","15세이상인구 (천명)",115
"대전광역시","15 - 19세","2014","경제활동인구 (천명)",9
"대전광역시","15 - 19세","2014","비경제활동인구 (천명)",106
"대전광역시","15 - 19세","2014","경제활동참가율 (%)",8.0
"대전광역시","15 - 19세","2014","고용률 (%)",6.7
"대전광역시","15 - 19세","2015","15세이상인구 (천명)",111
"대전광역시","15 - 19세","2015","경제활동인구 (천명)",7
"대전광역시","15 - 19세","2015","비경제활동인구 (천명)",104
"대전광역시","15 - 19세","2015","경제활동참가율 (%)",6.3
"대전광역시","15 - 19세","2015","고용률 (%)",5.7
"대전광역시","15 - 19세","2016","15세이상인구 (천명)",108
"대전광역시","15 - 19세","2016","경제활동인구 (천명)",8
"대전광역시","15 - 19세","2016","비경제활동인구 (천명)",100
"대전광역시","15 - 19세","2016","경제활동참가율 (%)",7.1
"대전광역시","15 - 19세","2016","고용률 (%)",6.8
"대전광역시","15 - 19세","2017","15세이상인구 (천명)",98
"대전광역시","15 - 19세","2017","경제활동인구 (천명)",5
"대전광역시","15 - 19세","2017","비경제활동인구 (천명)",93
"대전광역시","15 - 19세","2017","경제활동참가율 (%)",5.4
"대전광역시","15 - 19세","2017","고용률 (%)",4.9
"대전광역시","15 - 19세","2018","15세이상인구 (천명)",89
